Sample,pos,rate
10000000,adjective,1.092978953931283
10000000,noun,0.8449229330224637
10000000,other,1.0625191569277856
10000000,verb,1.2389683247617091
10010000,adjective,1.1407963831841832
10010000,noun,0.8235964044106223
10010000,other,1.1601328401470534
10010000,verb,1.203311643251617
10020000,adjective,1.164220693491674
10020000,noun,0.8194547892197687
10020000,other,1.305875805109327
10020000,verb,1.1368986652049644
10030000,adjective,1.2089995599033942
10030000,noun,0.8387384970895629
10030000,other,1.1418102267852277
10030000,verb,1.1019002284228547
10040000,adjective,1.117165151647779
10040000,noun,0.784084826075792
10040000,other,1.0128530634911266
10040000,verb,1.3718099716769556
10050000,adjective,1.1649026831847975
10050000,noun,0.8483953391796959
10050000,other,1.1298049076125296
10050000,verb,1.130685071755295
10060000,adjective,1.2081428610819642
10060000,noun,0.8840463699748621
10060000,other,1.148210337831583
10060000,verb,0.9954036526577493
10070000,adjective,1.084068646008351
10070000,noun,0.8562137480074173
10070000,other,1.249926533748674
10070000,verb,1.156595125521783
10080000,adjective,1.2234761435276944
10080000,noun,0.7305534620458951
10080000,other,1.128039630317374
10080000,verb,1.3424129916724719
10090000,adjective,1.1232106526433927
10090000,noun,0.8608100789867438
10090000,other,1.0159257519064349
10090000,verb,1.1861985657282184
10100000,adjective,1.0949472347738307
10100000,noun,0.9109185781647161
10100000,other,1.0837580003625613
10100000,verb,1.076242422257218
10110000,adjective,1.0634371180318842
10110000,noun,0.887110561032744
10110000,other,1.2569622028257803
10110000,verb,1.104400267323281
10120000,adjective,1.153796319732765
10120000,noun,0.8719806274522116
10120000,other,1.0326109522257314
10120000,verb,1.12182899330199
10130000,adjective,1.1960395983582217
10130000,noun,0.8597512351632539
10130000,other,1.0474331377559805
10130000,verb,1.100003906901405
10140000,adjective,1.1607786786138818
10140000,noun,0.7902198431688172
10140000,other,1.137283879575965
10140000,verb,1.267494719525823
10150000,adjective,1.2736127225113132
10150000,noun,0.7663200765237241
10150000,other,1.1230208654525662
10150000,verb,1.207720851365515
10160000,adjective,1.0712317714855402
10160000,noun,0.8593371671871122
10160000,other,1.096618945108512
10160000,verb,1.216738925783909
10170000,adjective,1.18240730705521
10170000,noun,0.8190645195810782
10170000,other,1.0676154972382108
10170000,verb,1.201901256027132
10180000,adjective,1.1039725703725392
10180000,noun,0.8779203858658821
10180000,other,1.0978962144435718
10180000,verb,1.1382649907077527
10190000,adjective,1.1790644261651466
10190000,noun,0.8376914263094294
10190000,other,0.9483416978372384
10190000,verb,1.2040169249438042
10200000,adjective,1.1171166281232794
10200000,noun,0.8959357431377258
10200000,other,0.9106158345357156
10200000,verb,1.14805726947799
10210000,adjective,1.1238692566901498
10210000,noun,0.8259333884726178
10210000,other,1.133073554996936
10210000,verb,1.2254068638619502
10220000,adjective,1.1355334356594005
10220000,noun,0.8313996221407034
10220000,other,1.055196462358184
10220000,verb,1.2275737836480687
10230000,adjective,1.0464916681306848
10230000,noun,0.851752244951439
10230000,other,1.3869569123728407
10230000,verb,1.158985917988792
10240000,adjective,1.1872517078955354
10240000,noun,0.8402391203542542
10240000,other,1.1333810961095274
10240000,verb,1.1245468449733036
10250000,adjective,1.131196293011781
10250000,noun,0.8585515238475079
10250000,other,1.1848787393175493
10250000,verb,1.1237355996315654
10260000,adjective,1.1233391436071931
10260000,noun,0.8900294154637699
10260000,other,1.1567489355783018
10260000,verb,1.0688991387453057
10270000,adjective,1.1463326098453748
10270000,noun,0.8166946648189463
10270000,other,1.269622275123073
10270000,verb,1.1750705572572056
10280000,adjective,1.2135931423762065
10280000,noun,0.813768169160192
10280000,other,1.029288589872321
10280000,verb,1.194388840191646
10290000,adjective,1.1941152082631177
10290000,noun,0.8330760201392595
10290000,other,1.1175248126202229
10290000,verb,1.1394147020695156
10300000,adjective,1.0818141135090802
10300000,noun,0.8824559623200805
10300000,other,1.2327025408650853
10300000,verb,1.1041198645865586
10310000,adjective,1.1282915550098378
10310000,noun,0.8410734450909039
10310000,other,1.244488496049162
10310000,verb,1.1465155446663537
10320000,adjective,1.194515965351179
10320000,noun,0.9047044193204998
10320000,other,0.9461338207373702
10320000,verb,1.0327754767840616
10330000,adjective,1.239118722753431
10330000,noun,0.8184213421688825
10330000,other,1.139257411682306
10330000,verb,1.1178563788871356
10340000,adjective,1.0329140882864243
10340000,noun,0.8814827588121371
10340000,other,1.3193233614535744
10340000,verb,1.1281423683076726
10350000,adjective,1.0904348023135813
10350000,noun,0.8540375207678126
10350000,other,1.1665586330860298
10350000,verb,1.1840713348169125
10360000,adjective,1.2373388560771275
10360000,noun,0.8194378979938903
10360000,other,1.1019506580353169
10360000,verb,1.1304645537590312
10370000,adjective,1.1989105321188915
10370000,noun,0.8619474527003796
